Year,Energy Carriers,Contribution_Percentage
1995,Aviation turbine fuel,1.652473485234615
1995,Brown coal (lignite) and brown coal products,8.974304180559068
1995,Crude oil,20.920661833741615
1995,Diesel fuels,5.1315291840420025
1995,Electricity and other energy sources,17.736226498025484
1995,Gases,12.476207069494118
1995,Hard coal and hard coal products,11.725046103509321
1995,Heating oil,5.217956216975873
1995,Heavy fuel oil,3.283164701795666
1995,Other mineral oil products,6.871729428172281
1995,Petrol,4.936316511163626
1995,Renewable energies,1.0743610696592873
1996,Aviation turbine fuel,1.6764741277212463
1996,Brown coal (lignite) and brown coal products,8.545873774702528
1996,Crude oil,20.91645574093152
1996,Diesel fuels,5.122820114547528
1996,Electricity and other energy sources,17.75616973362953
1996,Gases,13.358670294144115
1996,Hard coal and hard coal products,11.3045099123616
1996,Heating oil,5.818977015836894
1996,Heavy fuel oil,3.0844000591946292
1996,Other mineral oil products,6.596802739492749
1996,Petrol,4.786807382807466
1996,Renewable energies,1.0320227885802848
1997,Aviation turbine fuel,1.7945055653093813
1997,Brown coal (lignite) and brown coal products,8.156803814648864
1997,Crude oil,20.457451648753977
1997,Diesel fuels,5.254736166063183
1997,Electricity and other energy sources,18.381348192648222
1997,Gases,13.330724626497549
1997,Hard coal and hard coal products,11.408655466648002
1997,Heating oil,5.386188765158745
1997,Heavy fuel oil,2.892553855755807
1997,Other mineral oil products,6.897032838103547
1997,Petrol,4.791734726211721
1997,Renewable energies,1.2482501837902518
1998,Aviation turbine fuel,1.8195720317801114
1998,Brown coal (lignite) and brown coal products,7.564474593591827
1998,Crude oil,21.97460304624687
1998,Diesel fuels,5.3551890270085005
1998,Electricity and other energy sources,17.84742881556938
1998,Gases,13.050459104310175
1998,Hard coal and hard coal products,11.078026606185768
1998,Heating oil,5.141196980020079
1998,Heavy fuel oil,2.7888041736526272
1998,Other mineral oil products,7.123849589652485
1998,Petrol,4.873608875445507
1998,Renewable energies,1.3827638122892802
1999,Aviation turbine fuel,1.9670113081027432
1999,Brown coal (lignite) and brown coal products,7.468181224835185
1999,Crude oil,21.484406193348075
1999,Diesel fuels,5.63959703028472
1999,Electricity and other energy sources,18.443625904044044
1999,Gases,13.632805169794265
1999,Hard coal and hard coal products,10.701299605937605
1999,Heating oil,4.640399578659146
1999,Heavy fuel oil,2.4474259122732454
1999,Other mineral oil products,7.239668239624255
1999,Petrol,4.831008070936011
1999,Renewable energies,1.5045646639410608
2000,Aviation turbine fuel,2.037233916786432
2000,Brown coal (lignite) and brown coal products,7.686446322691189
2000,Crude oil,21.20527521907653
2000,Diesel fuels,5.651133202830628
2000,Electricity and other energy sources,18.38847181814647
2000,Gases,13.415723676151687
2000,Hard coal and hard coal products,10.624185606490816
2000,Heating oil,4.232402863998798
2000,Heavy fuel oil,2.6937725255246505
2000,Other mineral oil products,7.434882313213648
2000,Petrol,4.778599005561392
2000,Renewable energies,1.8518735295277584
2001,Aviation turbine fuel,2.0057171354181675
2001,Brown coal (lignite) and brown coal products,8.067398152632318
2001,Crude oil,21.30082143444745
2001,Diesel fuels,5.816809986233514
2001,Electricity and other energy sources,18.53451986008565
2001,Gases,13.436167562588249
2001,Hard coal and hard coal products,10.076326848552846
2001,Heating oil,4.717027126764151
2001,Heavy fuel oil,2.618862596335196
2001,Other mineral oil products,7.042401429260616
2001,Petrol,4.520234225474786
2001,Renewable energies,1.8637066706574914
2002,Aviation turbine fuel,1.9942884833328214
2002,Brown coal (lignite) and brown coal products,8.258578743697703
2002,Crude oil,21.575550929802166
2002,Diesel fuels,5.79778004041252
2002,Electricity and other energy sources,18.406881959665807
2002,Gases,13.854563688413656
2002,Hard coal and hard coal products,9.96865942442605
2002,Heating oil,4.18653547525494
2002,Heavy fuel oil,2.6424393973521823
2002,Other mineral oil products,7.0399590050694805
2002,Petrol,4.299098829099427
2002,Renewable energies,1.97567106308262
2003,Aviation turbine fuel,1.990096224941866
2003,Brown coal (lignite) and brown coal products,7.88488092155497
2003,Crude oil,21.283759267532623
2003,Diesel fuels,5.798214170725046
2003,Electricity and other energy sources,18.814098229601665
2003,Gases,13.737543875774305
2003,Hard coal and hard coal products,10.033341819290527
2003,Heating oil,4.004694402456162
2003,Heavy fuel oil,2.6058374908620046
2003,Other mineral oil products,6.901980473458284
2003,Petrol,4.107188901494204
2003,Renewable energies,2.8383483281680406
2004,Aviation turbine fuel,2.03111750302744
2004,Brown coal (lignite) and brown coal products,7.804335027475167
2004,Crude oil,21.475811562366026
2004,Diesel fuels,5.765329693792861
2004,Electricity and other energy sources,18.65753515476323
2004,Gases,13.885796992400126
2004,Hard coal and hard coal products,9.858508071525028
2004,Heating oil,3.7182723383253204
2004,Heavy fuel oil,2.4864505707261504
2004,Other mineral oil products,7.1263987253798176
2004,Petrol,3.8561840126386344
2004,Renewable energies,3.3342381595896073
2005,Aviation turbine fuel,2.154370143035999
2005,Brown coal (lignite) and brown coal products,7.380422573638577
2005,Crude oil,21.382382017057434
2005,Diesel fuels,5.7077745042127646
2005,Electricity and other energy sources,18.143062876329502
2005,Gases,14.034158077555519
2005,Hard coal and hard coal products,9.18724494200789
2005,Heating oil,3.7839412234383416
2005,Heavy fuel oil,3.2859696747330838
2005,Other mineral oil products,7.064155200570937
2005,Petrol,3.7695217317770595
2005,Renewable energies,4.10699055400145
2006,Aviation turbine fuel,2.1966145269370094
2006,Brown coal (lignite) and brown coal products,7.238610873832755
2006,Crude oil,20.625349563770897
2006,Diesel fuels,5.73888565541066
2006,Electricity and other energy sources,18.249845096317074
2006,Gases,14.018892226590195
2006,Hard coal and hard coal products,9.567387950155057
2006,Heating oil,3.804001328929652
2006,Heavy fuel oil,3.309689217892095
2006,Other mineral oil products,6.865697289542214
2006,Petrol,3.623797921364714
2006,Renewable energies,4.761234756414012
2007,Aviation turbine fuel,2.340890001505424
2007,Brown coal (lignite) and brown coal products,7.562027485419572
2007,Crude oil,20.546474468565258
2007,Diesel fuels,5.937749560306758
2007,Electricity and other energy sources,17.260585318649337
2007,Gases,13.85304863258168
2007,Hard coal and hard coal products,9.947108903291323
2007,Heating oil,2.867253730476058
2007,Heavy fuel oil,3.6309602452525387
2007,Other mineral oil products,6.854259803925528
2007,Petrol,3.4805487811705715
2007,Renewable energies,5.719106165195878
2008,Aviation turbine fuel,2.381188088912744
2008,Brown coal (lignite) and brown coal products,7.391622198828155
2008,Crude oil,20.259143271213595
2008,Diesel fuels,6.0041472971930885
2008,Electricity and other energy sources,17.639652558713696
2008,Gases,14.09460671051435
2008,Hard coal and hard coal products,9.12198590946566
2008,Heating oil,3.570427594122096
2008,Heavy fuel oil,3.6651556223357264
2008,Other mineral oil products,6.639901058676364
2008,Petrol,3.3614718620402435
2008,Renewable energies,5.870695639714093
2009,Aviation turbine fuel,2.504868605822975
2009,Brown coal (lignite) and brown coal products,7.697977557574921
2009,Crude oil,20.201834569220303
2009,Diesel fuels,6.18371825640884
2009,Electricity and other energy sources,17.57253917362568
2009,Gases,14.08845493378529
2009,Hard coal and hard coal products,8.14142006597646
2009,Heating oil,3.47394947332981
2009,Heavy fuel oil,3.3989399650739993
2009,Other mineral oil products,6.761155225961644
2009,Petrol,3.366088450039354
2009,Renewable energies,6.609067841731703
2010,Aviation turbine fuel,2.3882831749633557
2010,Brown coal (lignite) and brown coal products,7.517866489989634
2010,Crude oil,18.50059626904153
2010,Diesel fuels,6.053609571591222
2010,Electricity and other energy sources,18.006320586224817
2010,Gases,14.74287476318415
2010,Hard coal and hard coal products,9.09926806172918
2010,Heating oil,3.2341682010996804
2010,Heavy fuel oil,3.1380467662520357
2010,Other mineral oil products,6.907887941188925
2010,Petrol,3.0767172775027714
