Energy Carriers,Year,Total_Consumption
Aviation turbine fuel,1995,696728.0
Aviation turbine fuel,1996,719250.0
Aviation turbine fuel,1997,760899.0
Aviation turbine fuel,1998,779452.0
Aviation turbine fuel,1999,831340.0
Aviation turbine fuel,2000,877132.0
Aviation turbine fuel,2001,863101.0
Aviation turbine fuel,2002,849886.0
Aviation turbine fuel,2003,876466.0
Aviation turbine fuel,2004,915413.0
Aviation turbine fuel,2005,997141.0
Aviation turbine fuel,2006,1028513.0
Aviation turbine fuel,2007,1072463.0
Aviation turbine fuel,2008,1088160.0
Aviation turbine fuel,2009,1064501.0
Aviation turbine fuel,2010,1048548.0
Aviation turbine fuel,2011,1011771.0
Aviation turbine fuel,2012,1108909.0
Aviation turbine fuel,2013,1112845.0
Aviation turbine fuel,2014,1075839.0
Aviation turbine fuel,2015,1084690.0
Aviation turbine fuel,2016,1135622.0
Aviation turbine fuel,2017,1212753.0
Aviation turbine fuel,2018,1232076.0
Aviation turbine fuel,2019,1210146.0
Aviation turbine fuel,2020,535926.0
Brown coal (lignite) and brown coal products,1995,3783812.0
Brown coal (lignite) and brown coal products,1996,3666397.0
Brown coal (lignite) and brown coal products,1997,3458615.0
Brown coal (lignite) and brown coal products,1998,3240402.0
Brown coal (lignite) and brown coal products,1999,3156361.0
Brown coal (lignite) and brown coal products,2000,3309403.0
Brown coal (lignite) and brown coal products,2001,3471566.0
Brown coal (lignite) and brown coal products,2002,3519476.0
Brown coal (lignite) and brown coal products,2003,3472611.0
Brown coal (lignite) and brown coal products,2004,3517369.0
Brown coal (lignite) and brown coal products,2005,3415997.0
Brown coal (lignite) and brown coal products,2006,3389309.0
Brown coal (lignite) and brown coal products,2007,3464492.0
Brown coal (lignite) and brown coal products,2008,3377838.0
Brown coal (lignite) and brown coal products,2009,3271431.0
Brown coal (lignite) and brown coal products,2010,3300632.0
Brown coal (lignite) and brown coal products,2011,3445177.0
Brown coal (lignite) and brown coal products,2012,3601082.0
Brown coal (lignite) and brown coal products,2013,3570508.0
Brown coal (lignite) and brown coal products,2014,3474725.0
Brown coal (lignite) and brown coal products,2015,3447064.0
Brown coal (lignite) and brown coal products,2016,3327836.0
Brown coal (lignite) and brown coal products,2017,3302296.0
Brown coal (lignite) and brown coal products,2018,3250433.0
Brown coal (lignite) and brown coal products,2019,2597325.0
Brown coal (lignite) and brown coal products,2020,2166057.0
Crude oil,1995,8820723.0
Crude oil,1996,8973691.0
Crude oil,1997,8674286.0
Crude oil,1998,9413284.0
Crude oil,1999,9080195.0
Crude oil,2000,9129941.0
Crude oil,2001,9166178.0
Crude oil,2002,9194637.0
Crude oil,2003,9373663.0
Crude oil,2004,9679025.0
Crude oil,2005,9896744.0
Crude oil,2006,9657334.0
Crude oil,2007,9413229.0
Crude oil,2008,9258063.0
Crude oil,2009,8585230.0
Crude oil,2010,8122472.0
Crude oil,2011,7944582.0
Crude oil,2012,8129310.0
Crude oil,2013,7912262.0
Crude oil,2014,7786378.0
Crude oil,2015,7961825.0
Crude oil,2016,7985524.0
Crude oil,2017,7912982.0
Crude oil,2018,7441520.0
Crude oil,2019,7447052.0
Crude oil,2020,7172839.0
Diesel fuels,1995,2163593.0
Diesel fuels,1996,2197820.0
Diesel fuels,1997,2228092.0
Diesel fuels,1998,2294008.0
Diesel fuels,1999,2383526.0
Diesel fuels,2000,2433098.0
Diesel fuels,2001,2503092.0
Diesel fuels,2002,2470782.0
Diesel fuels,2003,2553614.0
Diesel fuels,2004,2598401.0
Diesel fuels,2005,2641819.0
Diesel fuels,2006,2687098.0
Diesel fuels,2007,2720340.0
Diesel fuels,2008,2743787.0
Diesel fuels,2009,2627912.0
Diesel fuels,2010,2657767.0
Diesel fuels,2011,2665019.0
Diesel fuels,2012,2661542.0
Diesel fuels,2013,2814094.0
Diesel fuels,2014,2649725.0
Diesel fuels,2015,2889177.0
Diesel fuels,2016,2925472.0
Diesel fuels,2017,2833044.0
Diesel fuels,2018,2717733.0
Diesel fuels,2019,2707816.0
Diesel fuels,2020,2523695.0
Electricity and other energy sources,1995,7478078.0
Electricity and other energy sources,1996,7617848.0
Electricity and other energy sources,1997,7793985.0
Electricity and other energy sources,1998,7645322.0
Electricity and other energy sources,1999,7795036.0
Electricity and other energy sources,2000,7917165.0
Electricity and other energy sources,2001,7975782.0
Electricity and other energy sources,2002,7844277.0
Electricity and other energy sources,2003,8285990.0
Electricity and other energy sources,2004,8408844.0
Electricity and other energy sources,2005,8397439.0
Electricity and other energy sources,2006,8545060.0
Electricity and other energy sources,2007,7907821.0
Electricity and other energy sources,2008,8061003.0
Electricity and other energy sources,2009,7467851.0
Electricity and other energy sources,2010,7905466.0
Electricity and other energy sources,2011,7071543.0
Electricity and other energy sources,2012,6991745.0
Electricity and other energy sources,2013,6918857.0
Electricity and other energy sources,2014,6788247.0
Electricity and other energy sources,2015,6763973.0
Electricity and other energy sources,2016,6602831.0
Electricity and other energy sources,2017,6433704.0
Electricity and other energy sources,2018,6369661.0
Electricity and other energy sources,2019,6184965.0
Electricity and other energy sources,2020,5716353.0
Gases,1995,5260310.0
Gases,1996,5731209.0
Gases,1997,5652440.0
Gases,1998,5590439.0
Gases,1999,5761785.0
Gases,2000,5776146.0
Gases,2001,5781857.0
Gases,2002,5904261.0
Gases,2003,6050205.0
Gases,2004,6258249.0
Gases,2005,6495650.0
Gases,2006,6564016.0
Gases,2007,6346681.0
Gases,2008,6440981.0
Gases,2009,5987210.0
Gases,2010,6472688.0
Gases,2011,6194934.0
Gases,2012,5997772.0
Gases,2013,6339232.0
Gases,2014,5882446.0
Gases,2015,6341724.0
Gases,2016,6491241.0
Gases,2017,6947419.0
Gases,2018,8602245.0
Gases,2019,8432859.0
Gases,2020,8239890.0
Hard coal and hard coal products,1995,4943600.0
Hard coal and hard coal products,1996,4849922.0
Hard coal and hard coal products,1997,4837452.0
Hard coal and hard coal products,1998,4745506.0
Hard coal and hard coal products,1999,4522810.0
Hard coal and hard coal products,2000,4574248.0
Hard coal and hard coal products,2001,4336049.0
Hard coal and hard coal products,2002,4248244.0
Hard coal and hard coal products,2003,4418823.0
Hard coal and hard coal products,2004,4443173.0
Hard coal and hard coal products,2005,4252277.0
Hard coal and hard coal products,2006,4479704.0
Hard coal and hard coal products,2007,4557201.0
Hard coal and hard coal products,2008,4168583.0
Hard coal and hard coal products,2009,3459882.0
Hard coal and hard coal products,2010,3994928.0
Hard coal and hard coal products,2011,4026634.0
Hard coal and hard coal products,2012,4017850.0
Hard coal and hard coal products,2013,4135075.0
Hard coal and hard coal products,2014,4020994.0
Hard coal and hard coal products,2015,3945605.0
Hard coal and hard coal products,2016,3954449.0
Hard coal and hard coal products,2017,3532070.0
Hard coal and hard coal products,2018,3280612.0
Hard coal and hard coal products,2019,2825593.0
Hard coal and hard coal products,2020,2173463.0
Heating oil,1995,2200033.0
Heating oil,1996,2496489.0
Heating oil,1997,2283830.0
Heating oil,1998,2202340.0
Heating oil,1999,1961224.0
Heating oil,2000,1822263.0
Heating oil,2001,2029833.0
Heating oil,2002,1784134.0
Heating oil,2003,1763723.0
Heating oil,2004,1675804.0
Heating oil,2005,1751381.0
Heating oil,2006,1781134.0
Heating oil,2007,1313613.0
Heating oil,2008,1631621.0
Heating oil,2009,1476334.0
Heating oil,2010,1419924.0
Heating oil,2011,1252921.0
Heating oil,2012,1293296.0
Heating oil,2013,1323191.0
Heating oil,2014,1124828.0
Heating oil,2015,1106746.0
Heating oil,2016,1100540.0
Heating oil,2017,1238812.0
Heating oil,2018,1175632.0
Heating oil,2019,1304329.0
Heating oil,2020,1328540.0
Heavy fuel oil,1995,1384272.0
Heavy fuel oil,1996,1323286.0
Heavy fuel oil,1997,1226489.0
Heavy fuel oil,1998,1194643.0
Heavy fuel oil,1999,1034383.0
Heavy fuel oil,2000,1159805.0
Heavy fuel oil,2001,1126950.0
Heavy fuel oil,2002,1126102.0
